,station_id,year,month,day,rides,day_type,station_name,location,latitude,longitude
87,40010,2019,3,29,1589,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
88,40010,2019,3,30,642,Saturday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
89,40010,2019,3,31,487,Sunday/Holiday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
90,40010,2019,5,1,1971,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
91,40010,2019,5,2,1929,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
92,40010,2019,5,3,1939,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
93,40010,2019,5,4,798,Saturday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
94,40010,2019,5,5,624,Sunday/Holiday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
95,40010,2019,5,6,1920,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
96,40010,2019,5,7,1907,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
97,40010,2019,5,8,1965,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
98,40010,2019,5,9,1956,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
99,40010,2019,5,10,1822,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
100,40010,2019,5,11,772,Saturday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
101,40010,2019,5,12,563,Sunday/Holiday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
102,40010,2019,5,13,1813,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
103,40010,2019,5,14,1947,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
104,40010,2019,5,15,1979,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
105,40010,2019,5,16,1943,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
106,40010,2019,5,17,1761,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
107,40010,2019,5,18,787,Saturday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
108,40010,2019,5,19,566,Sunday/Holiday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
109,40010,2019,5,20,1818,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
110,40010,2019,5,21,1923,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
111,40010,2019,5,22,1964,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
